Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192608,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192609,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192610,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192611,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192612,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192701,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192702,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192703,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192704,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192705,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192706,0.76,0.54,1.06,0.92,0.48,0.77,0.45,0.68,0.77,1.33
192707,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192708,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192709,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192710,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192711,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192712,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192801,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192802,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192803,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192804,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192805,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192806,0.63,0.43,0.91,1.08,0.47,0.73,0.44,0.51,0.71,1.23
192807,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192808,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192809,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192810,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192811,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192812,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192901,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192902,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192903,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192904,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192905,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192906,0.51,0.28,0.69,0.93,0.37,0.64,0.35,0.22,0.57,1.11
192907,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
192908,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
192909,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
192910,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
192911,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
192912,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
193001,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
193002,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
193003,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
193004,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
193005,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
193006,0.48,0.29,0.43,0.8,0.2,0.55,0.29,0.26,0.31,0.93
193007,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193008,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193009,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193010,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193011,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193012,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193101,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193102,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193103,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193104,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193105,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193106,0.64,0.65,0.74,1,0.32,0.54,0.61,0.42,0.37,1.27
193107,0.76,0.74,1.15,1.69,0.54,0.77,0.76,0.4,0.51,1.84
193108,0.76,0.74,1.15,1.69,0.54,0.77,0.76,0.4,0.51,1.84
193109,0.76,0.74,1.15,1.69,0.54,0.77,0.76,0.4,0.51,1.84
