,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,2842.2,1962.85,4888.23,4314.09,1615.5,1751.8,1606.79,178.64,1705.62,5793.09
192608,2880,2258.85,5101.59,4257.99,1661.4,1766.35,1604.33,180.6,1823.01,5901.87
192609,2986.2,2328.78,5227.32,4313.5,1700.82,1804.8,1589.16,187.11,1785.21,6138.3
192610,2998.8,2432.75,5256.53,4147,1680.84,1820.8,1589.57,188.09,1814.61,6128.31
192611,2954.7,2226.66,5050.79,4109.5,1602.9,1818.7,1549.39,185.78,1762.32,5937.39
192612,3094.53,2174.12,5238.75,4084.5,1674.36,1848.25,1640.82,194.67,1820.7,6023.6
192701,3095.42,2382.06,5380.99,4174.31,1660.5,1857.6,1647.79,193.34,1808.52,6175.4
192702,3062.4,2354.31,5360.67,4219.39,1640.52,1892.6,1601.46,201.95,1772.61,6248.97
192703,3154.62,2543.01,5655.31,4261.04,1709.46,1967.75,1651.48,204.12,1845.9,6541.09
192704,3213.78,2577.42,5699.76,3983.21,1720.44,2001.84,1642.05,205.8,1844.64,6584.76
192705,3316.44,2652.9,5726.43,3768.1,1813.32,1959.2,1704.78,210.21,1871.73,6632.28
192706,3577.44,2773.89,6003.9,3930.29,1940.76,2024.72,1742.91,217.56,2037,7028.64
192707,3824.94,2893.47,5900.46,4684.9,1775.17,2107.8,1805.04,231.35,2311.04,7201.2
192708,4002.32,3264.56,6594.56,4811.95,1991.01,2186.55,1978,252.84,2426.04,7611.6
192709,4103.26,3469.67,6758.4,4781.15,2099.12,2195.85,2115.08,252.14,2500.79,7504.8
192710,4291.42,3658.87,7047.68,4921.95,2111.66,2310.2,2270.56,265.93,2699.28,7808.4
192711,4035.2,3493.32,6559.56,4808.1,1947.42,2261.85,2153.26,277.34,2575.08,7498.8
192712,4300.01,3647.26,7231.14,4987.95,2152.08,2325.75,2396.14,286.02,2729.41,7809.6
192801,4350.72,3922.46,7417.62,4983,2164.86,2327.75,2376.36,283.85,2782.54,7909.2
192802,4368.96,3785.72,7358.4,4882.9,2155.68,2334.6,2350.6,290.22,2937.79,7810.8
192803,4174.08,3806.79,7178.75,4846.05,2140.2,2327.6,2315.18,206.1,2889.92,7627.2
192804,4328.64,4846.1,7727.5,5089.7,2543.22,2344.2,2507,226.5,3073.4,8054.4
192805,4302.72,4911.03,7826.25,5854.2,2599.38,2368,2496.88,231.36,3400.54,8376
192806,4331.52,5129.04,8080,5518.15,2653.56,2524.6,2588.4,251.16,3443,8352
192807,4496.1,5062.05,8366.41,5389.44,2677.48,2577.04,2687.7,373.68,3553.27,8358
192808,4565.4,5094.76,8513.75,5439.84,2694.39,2544.12,2828.97,382.08,3498.07,8307.6
192809,4830,5529.48,9210.14,5544,2951.46,2659.96,3203.31,435,3712.2,8665.2
192810,4861.5,5955.4,9565.98,5825.12,2955.83,2630.96,3204.84,429.06,3846.06,8615.6
192811,4897.2,5952.76,9962.13,5937.68,3009.03,2708.92,3388.95,428.76,3763.03,8560.86
192812,5179.2,6149,11206.18,6921.6,3591.95,2889.8,3896.91,447.66,4577.46,9381.96
192901,5094.38,6055.26,11503.64,6609.68,3824.7,2845.96,3841.83,433.65,4640.02,9352.68
192902,5257.12,6127.5,12747.69,6098.96,4224.65,3226.56,3687.3,448,5240.09,9854.18
192903,5095.41,6088.37,13156.35,6066.48,4079.7,3189.32,3587.85,445.4,5125.09,9827.04
192904,4833.79,5964.53,12853.33,6697.6,4247.46,3293.32,3399.15,437.6,4953.05,9570.98
192905,4891.92,5898.74,13129.94,6740.16,4323.06,3404.88,3515.43,443.55,5105.76,9601.66
192906,4652.06,4956.18,11784.42,6334.16,4331.52,3106.36,3206.37,405.95,5339.62,9531.99
