Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,0,0,0,0,0,0,0,0,0,0
192608,0,0,0,0,0,0,0,0,0,0
192609,0,0,0,0,0,0,0,0,0,0
192610,0,0,0,0,0,0,0,0,0,0
192611,0,0,0,0,0,0,0,0,0,0
192612,0,0,0,0,0,0,0,0,0,0
192701,0,0,0,0,0,0,0,0,0,0
192702,0,0,0,0,0,0,0,0,0,0
192703,0,0,0,0,0,0,0,0,0,0
192704,0,0,0,0,0,0,0,0,0,0
192705,0,0,0,0,0,0,0,0,0,0
192706,2.406153846,4.175384615,2.704615385,-0.227692308,2.943846154,1.78,1.618461538,2.821538462,1.851538462,2.2
192707,2.506923077,3.516153846,2.566153846,-0.14,3.16,1.749230769,2.174615385,2.706923077,1.573846154,1.952307692
192708,2.604615385,3.669230769,2.716153846,-0.151538462,3.048461538,2.084615385,2.806153846,2.814615385,2.341538462,1.969230769
192709,2.455384615,2.963076923,2.113076923,-0.047692308,2.521538462,1.738461538,2.410769231,3.156153846,1.850769231,1.655384615
192710,3.074615385,4.087692308,3.226153846,0.332307692,3.704615385,1.964615385,3.484615385,3.483076923,2.539230769,2.220769231
192711,2.863846154,4.7,3.147692308,0.4,3.436153846,1.941538462,2.937692308,3.030769231,2.426153846,2.210769231
192712,2.840769231,3.682307692,2.815384615,0.04,3.407692308,1.811538462,2.822307692,3.229230769,2.890769231,1.873076923
192801,2.571538462,3.85,2.676923077,-0.076153846,3.459230769,1.643846154,2.932307692,2.734615385,2.976153846,1.603076923
192802,2.65,5.279230769,2.86,0.22,4.610769231,1.489230769,3.307692308,3.413846154,3.136923077,1.682307692
192803,2.404615385,5.266923077,2.865384615,1.845384615,4.670769231,1.309230769,3.339230769,3.516923077,3.95,1.909230769
192804,2.214615385,5.459230769,3.077692308,1.836153846,4.432307692,1.981538462,3.287692308,4.019230769,3.934615385,1.843076923
